trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.988036}",20,0,-81.33919835191334,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.982107784}",30,0,-80.48106218408716,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.976215137296}",30,0,-168.60470770183207,"{0: 15, 1: 5, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.970357846472224}",20,0,-212.913712951413,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9645356993933907}",20,0,-138.0565195023912,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9587484851970303}",25,0,-134.89001301502373,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9529959942858481}",20,0,-113.14269447890365,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.947278018320133}",20,0,-110.91293636841122,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9415943502102122}",20,0,-81.43407152574888,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9359447841089509}",20,0,-167.0292132456604,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9303291154042972}",20,0,-99.38078662997216,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9247471407118715}",25,0,-118.75533178676068,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9191986578676001}",25,11,-84.90172935642448,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.9136834659203946}",30,0,-228.80536642894904,"{0: 14, 1: 6, 2: 5, 3: 2, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9082013651248723}",30,0,-204.67128422949708,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.9027521569341229}",20,0,-104.14600665235805,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8973356439925182}",20,0,-97.53537401766603,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8919516301285632}",20,8,-43.28508649918596,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.8865999203477918}",25,0,-128.74210151147207,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.881280320825705}",20,0,-79.44175394513509,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8759926389007507}",25,0,-157.42439722125118,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.8707366830673462}",20,0,-168.43627561916549,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.8655122629689421}",20,0,-59.062208293028704,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8603191893911285}",20,0,-27.24230977433067,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8551572742547817}",20,0,-40.91313813088668,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.850026330609253}",20,0,-101.85223781705938,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8449261726255975}",20,0,-38.735791005989284,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8398566155898439}",20,0,-23.63196218801691,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8348174758963048}",20,0,-12.987176757887093,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.829808571040927}",20,2,-94.53360937462644,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.8248297196146814}",30,21,5.417110106219102,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.8198807412969933}",30,4,-195.45320911037015,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 4}",1
33,False,"{'a': 0.5, 'e': 0.8149614568492114}",30,0,-72.14577010381755,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.8100716881081161}",20,0,-50.888501873648785,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8052112579794675}",20,0,-65.51078835372196,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8003799904315906}",25,0,-27.76458919389286,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.795577710489001}",25,0,-105.40667827855744,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.790804244226067}",20,10,-51.852984485032906,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.7860594187607106}",30,14,-91.44142980457471,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
40,False,"{'a': 0.5, 'e': 0.7813430622481463}",20,0,-124.64809140840302,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.7766550038746575}",20,10,-74.64076653495147,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.7719950738514095}",20,0,-109.7204525128242,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.767363103408301}",35,0,-65.48130182636513,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.7627589247878512}",30,0,-149.47424380387943,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7581823712391241}",20,15,2.7606788940275235,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7536332770116894}",25,0,-76.42535953643373,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7491114773496192}",25,0,-95.47375153599236,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7446168084855216}",20,10,-34.53774222650718,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.7401491076346084}",20,0,-128.21481893770317,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7357082129888007}",25,3,-64.321308699603,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.731293963710868}",20,0,-96.83631524439166,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.7269061999286027}",25,0,-134.2863777486131,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.7225447627290311}",25,0,-78.2245787468153,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7182094941526569}",25,0,-91.62948091845948,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.713900237187741}",20,0,-57.754024355990495,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.7096168357646145}",20,0,-76.8502002948737,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.7053591347500269}",25,4,-130.44258411190629,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.7011269799415267}",20,0,16.10598936303109,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.6969202180618775}",25,0,-63.15329777252218,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.6927386967535062}",25,1,-100.95763473841349,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.6885822645729852}",20,0,4.664733873433432,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6844507709855473}",25,19,2.9753436784735374,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.680344066359634}",20,6,-86.50717018765536,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.6762620019614762}",20,0,-31.912095089437955,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.6722044299497073}",20,0,-55.7295247425852,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.6681712033700091}",20,0,-109.96139049173895,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.664162176149789}",20,5,-0.7069023375378887,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.6601772030928903}",20,0,-51.09150018144506,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.6562161398743329}",20,1,-31.36259956062734,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.652278843035087}",25,13,-42.72854510471935,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.6483651699768764}",20,12,-31.93752932469954,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6444749789570151}",25,0,-88.53729879716084,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.640608129083273}",20,0,-84.49489321917174,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6367644803087734}",20,0,-132.0932029047785,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.6329438934269208}",25,0,-83.25762935616658,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6291462300663593}",30,15,-61.966399756082104,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.6253713526859611}",35,14,-111.75874765897562,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 3}",1
78,False,"{'a': 0.5, 'e': 0.6216191245698454}",20,0,-59.26786671409759,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.6178894098224262}",30,0,-46.35859078940488,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.6141820733634917}",30,17,-54.63687694565937,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.5, 'e': 0.6104969809233107}",20,0,-11.666003609726545,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.6068339990377709}",20,0,-32.9102093824369,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.6031929950435442}",30,0,-132.70537288044193,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.5995738370732829}",20,0,-68.69846866325157,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5959763940508432}",20,0,-39.216819538745256,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5924005356865382}",30,9,-82.89701960399618,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.588846132472419}",20,7,-36.306291990452074,"{0: 7, 1: 4, 2: 1, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.5853130556775844}",25,16,9.741324867190611,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.581801177343519}",25,5,-48.577013414731695,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5783103702794579}",20,0,-10.366418986882916,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.5748405080577811}",30,3,-20.156356956518177,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5713914650094344}",20,0,-57.79543682160004,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.5679631162193778}",20,0,-99.87417415948411,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.5645553375220616}",25,0,-45.699955593928934,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5611680054969291}",20,0,-17.479266845181794,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.5578009974639475}",35,6,27.54666898463747,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5544541914791639}",20,8,-2.2984991953049234,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5511274663302889}",25,0,-105.9038000473079,"{0: 18, 1: 0, 2: 3, 3: 3, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5478207015323071}",20,9,8.889067738329254,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.5445337773231133}",20,0,-38.02126040211811,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.5412665746591746}",20,0,0.46394245982427873,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.5380189752112196}",20,0,-33.74022616893386,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.5347908613599522}",25,0,-7.329983819395915,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.5315821161917925}",30,3,-27.659931433863736,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.5283926234946418}",25,11,-28.822692736361567,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.5252222677536739}",25,7,-23.786412500030586,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.5220709341471519}",20,7,16.82304008986333,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.518938508542269}",20,14,-20.26854115108187,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.5158248774910154}",25,0,-80.97741391671919,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
110,False,"{'a': 0.5, 'e': 0.5127299282260692}",30,2,-41.791240063262045,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.5096535486567129}",20,11,-38.28558576571614,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.5065956273647726}",20,5,6.504627298373091,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.5035560536005839}",20,6,-30.196433477988823,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.5, 'e': 0.5005347172789804}",30,7,-44.84483132929959,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.4975315089753065}",25,20,9.835888677995676,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4945463199214547}",20,3,4.201588157557693,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4915790420019259}",20,6,-16.09465353051531,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.4886295677499144}",25,0,-29.984185876050784,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.48569779034341487}",20,0,7.96546017812866,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.4827836036013544}",30,0,-24.40136658665547,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.47988690197974626}",20,0,-7.582329692750439,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.4770075805678678}",30,18,-83.68950951906669,"{0: 6, 1: 0, 2: 5, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.4741455350844606}",25,8,-8.595695711807984,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.4713006618739538}",25,9,10.224056596672789,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.4684728579027101}",25,6,-63.175322409141394,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.46566202075529384}",25,4,-38.94865711571087,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.4628680486307621}",25,16,-29.355440055424836,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
